drugbank_id,drug_score,drug_neg_log_score,trustrank,drug_name,drug_atc_code,drug_atc_label,uniprot_id,symbol,ensembl_id,drug|protein,interaction_label,actions
DB01268,0.0001023946263607,3.9897228344061433,1,Sunitinib,L01,Antineoplastic agents ,P56524,HDAC4,ENSG00000068024,DB01268|P56524,,
DB01268,0.0001023946263607,3.9897228344061433,1,Sunitinib,L01,Antineoplastic agents ,Q92769,HDAC2,ENSG00000196591,DB01268|Q92769,,
DB01268,0.0001023946263607,3.9897228344061433,1,Sunitinib,L01,Antineoplastic agents ,P17980,PSMC3,ENSG00000165916,DB01268|P17980,,
DB01268,0.0001023946263607,3.9897228344061433,1,Sunitinib,L01,Antineoplastic agents ,Q13547,HDAC1,ENSG00000116478,DB01268|Q13547,,
DB06595,8.872677288195638e-05,4.051945314097492,2,Midostaurin,L01,Antineoplastic agents ,P56524,HDAC4,ENSG00000068024,DB06595|P56524,,
DB06595,8.872677288195638e-05,4.051945314097492,2,Midostaurin,L01,Antineoplastic agents ,Q92769,HDAC2,ENSG00000196591,DB06595|Q92769,,
DB06595,8.872677288195638e-05,4.051945314097492,2,Midostaurin,L01,Antineoplastic agents ,P17980,PSMC3,ENSG00000165916,DB06595|P17980,,
DB06595,8.872677288195638e-05,4.051945314097492,2,Midostaurin,L01,Antineoplastic agents ,Q13547,HDAC1,ENSG00000116478,DB06595|Q13547,,
DB12010,7.230555688931033e-05,4.140828324647017,3,Fostamatinib,B02,Antihemorrhagics ,P56524,HDAC4,ENSG00000068024,DB12010|P56524,,
DB12010,7.230555688931033e-05,4.140828324647017,3,Fostamatinib,B02,Antihemorrhagics ,Q92769,HDAC2,ENSG00000196591,DB12010|Q92769,,
DB12010,7.230555688931033e-05,4.140828324647017,3,Fostamatinib,B02,Antihemorrhagics ,P17980,PSMC3,ENSG00000165916,DB12010|P17980,,
DB12010,7.230555688931033e-05,4.140828324647017,3,Fostamatinib,B02,Antihemorrhagics ,Q13547,HDAC1,ENSG00000116478,DB12010|Q13547,,
DB11829,5.865886787200199e-05,4.231666323245801,4,,,,P56524,HDAC4,ENSG00000068024,DB11829|P56524,,
DB11829,5.865886787200199e-05,4.231666323245801,4,,,,Q92769,HDAC2,ENSG00000196591,DB11829|Q92769,,
DB11829,5.865886787200199e-05,4.231666323245801,4,,,,P17980,PSMC3,ENSG00000165916,DB11829|P17980,,
DB11829,5.865886787200199e-05,4.231666323245801,4,,,,Q13547,HDAC1,ENSG00000116478,DB11829|Q13547,,
DB09079,5.6964009417229656e-05,4.244399450436906,5,Nintedanib,L01,Antineoplastic agents ,P56524,HDAC4,ENSG00000068024,DB09079|P56524,,
