drugbank_id,drug_score,drug_neg_log_score,trustrank,drug_name,drug_atc_code,drug_atc_label,uniprot_id,symbol,ensembl_id,drug|protein,interaction_label,actions
DB01268,0.0001230140368713,3.910045329309088,1,Sunitinib,L01,Antineoplastic agents ,P17980,PSMC3,ENSG00000165916,DB01268|P17980,,
DB06595,0.0001143383761485,3.941807979995741,2,Midostaurin,L01,Antineoplastic agents ,P17980,PSMC3,ENSG00000165916,DB06595|P17980,,
DB11829,9.917072723349178e-05,4.003616502009763,3,,,,P17980,PSMC3,ENSG00000165916,DB11829|P17980,,
DB00025,3.906642799399803e-05,4.408196296310789,4,,,,P17980,PSMC3,ENSG00000165916,DB00025|P17980,,
DB13999,3.906642799399803e-05,4.408196296310789,4,,,,P17980,PSMC3,ENSG00000165916,DB13999|P17980,,
DB13998,3.906642799399803e-05,4.408196296310789,4,,,,P17980,PSMC3,ENSG00000165916,DB13998|P17980,,
DB01114,2.64467173540768e-05,4.5776282262179775,7,Chlorpheniramine,R06,Antihistamines for systemic use ,P17980,PSMC3,ENSG00000165916,DB01114|P17980,,
DB12695,1.643849774499456e-05,4.784137873588521,8,,,,P17980,PSMC3,ENSG00000165916,DB12695|P17980,,
DB04395,7.005226073066496e-06,5.1545778445750665,9,,,,P17980,PSMC3,ENSG00000165916,DB04395|P17980,,
DB00756,6.461654052816446e-06,5.189656297165584,10,Hexachlorophene,D08,Antiseptics and disinfectants ,P17980,PSMC3,ENSG00000165916,DB00756|P17980,,
DB12082,2.7334161226685506e-06,5.563294248284626,11,,,,P17980,PSMC3,ENSG00000165916,DB12082|P17980,,
