drugbank_id,drug_score,drug_neg_log_score,trustrank,drug_name,drug_atc_code,drug_atc_label,uniprot_id,symbol,ensembl_id,drug|protein,interaction_label,actions
DB12010,6.082180906488587e-05,4.215940666480395,1,Fostamatinib,B02,Antihemorrhagics ,P07437,TUBB,ENSG00000196230,DB12010|P07437,,
DB12010,6.082180906488587e-05,4.215940666480395,1,Fostamatinib,B02,Antihemorrhagics ,P62906,RPL10A,ENSG00000198755,DB12010|P62906,,
DB12010,6.082180906488587e-05,4.215940666480395,1,Fostamatinib,B02,Antihemorrhagics ,Q71U36,TUBA1A,ENSG00000167552,DB12010|Q71U36,,
DB12010,6.082180906488587e-05,4.215940666480395,1,Fostamatinib,B02,Antihemorrhagics ,P06748,NPM1,ENSG00000181163,DB12010|P06748,,
DB12010,6.082180906488587e-05,4.215940666480395,1,Fostamatinib,B02,Antihemorrhagics ,Q9BQE3,TUBA1C,ENSG00000167553,DB12010|Q9BQE3,,
DB12010,6.082180906488587e-05,4.215940666480395,1,Fostamatinib,B02,Antihemorrhagics ,Q13619,CUL4A,ENSG00000139842,DB12010|Q13619,,
DB01268,5.367144344372109e-05,4.270256724608376,2,Sunitinib,L01,Antineoplastic agents ,P07437,TUBB,ENSG00000196230,DB01268|P07437,,
DB01268,5.367144344372109e-05,4.270256724608376,2,Sunitinib,L01,Antineoplastic agents ,P62906,RPL10A,ENSG00000198755,DB01268|P62906,,
DB01268,5.367144344372109e-05,4.270256724608376,2,Sunitinib,L01,Antineoplastic agents ,Q71U36,TUBA1A,ENSG00000167552,DB01268|Q71U36,,
DB01268,5.367144344372109e-05,4.270256724608376,2,Sunitinib,L01,Antineoplastic agents ,P06748,NPM1,ENSG00000181163,DB01268|P06748,,
DB01268,5.367144344372109e-05,4.270256724608376,2,Sunitinib,L01,Antineoplastic agents ,Q9BQE3,TUBA1C,ENSG00000167553,DB01268|Q9BQE3,,
DB01268,5.367144344372109e-05,4.270256724608376,2,Sunitinib,L01,Antineoplastic agents ,Q13619,CUL4A,ENSG00000139842,DB01268|Q13619,,
DB09079,4.444692337223293e-05,4.352158295632031,3,Nintedanib,L01,Antineoplastic agents ,P07437,TUBB,ENSG00000196230,DB09079|P07437,,
DB09079,4.444692337223293e-05,4.352158295632031,3,Nintedanib,L01,Antineoplastic agents ,P62906,RPL10A,ENSG00000198755,DB09079|P62906,,
DB09079,4.444692337223293e-05,4.352158295632031,3,Nintedanib,L01,Antineoplastic agents ,Q71U36,TUBA1A,ENSG00000167552,DB09079|Q71U36,,
